15432,"Bradbury","Mars",63.2,2.58,85.8,"Planetocentric  +East  0 - 360","Crater, craters",
865,"Brashear","Mars",77.45,-53.81,240.97,"Planetocentric  +East  0 - 360","Crater, craters",
867,"Brazos Valles","Mars",387.51,-6.08,18.7,"Planetocentric  +East  0 - 360","Vallis, valles",
15251,"Bree","Mars",28.79,37.64,149.63,"Planetocentric  +East  0 - 360","Crater, craters",
872,"Bremerhaven","Mars",2.69,23.7,311.36,"Planetocentric  +East  0 - 360","Crater, craters",
876,"Briault","Mars",93.06,-9.98,89.68,"Planetocentric  +East  0 - 360","Crater, craters",
878,"Bridgetown","Mars",1.57,21.9,312.92,"Planetocentric  +East  0 - 360","Crater, craters",
884,"Bristol","Mars",3,22.09,313.07,"Planetocentric  +East  0 - 360","Crater, craters",
886,"Broach","Mars",11.31,23.51,303.11,"Planetocentric  +East  0 - 360","Crater, craters",
888,"Bronkhorst","Mars",17.75,-10.7,304.79,"Planetocentric  +East  0 - 360","Crater, craters",
901,"Brush","Mars",6.49,21.7,111.34,"Planetocentric  +East  0 - 360","Crater, craters",
915,"Bulhar","Mars",18.24,50.36,134.52,"Planetocentric  +East  0 - 360","Crater, craters",
